ADXL345_X,ADXL345_Y,ADXL345_Z,ITG3200_X,ITG3200_Y,ITG3200_Z,MMA8451Q_X,MMA8451Q_Y,MMA8451Q_Z,ADXL345_Mag,ITG3200_Mag,MMA8451Q_Mag,label
5,-226,9,-125,391,383,-6,-880,114,226.23439172681063,561.4223009464445,887.3736529782705,0
-3,-229,-1,-145,408,371,-11,-888,119,229.02183302034766,570.2017186926045,896.0055803397655,0
-3,-233,-4,-163,425,355,-12,-901,115,233.05364189387817,577.2512451264181,908.3886833288931,0
-3,-235,-2,-174,440,338,-17,-910,115,235.0276579468893,581.4808681289522,917.3952256252481,0
-1,-237,-6,-185,455,321,-16,-912,103,237.07804622107042,586.7631549441393,917.9373616974091,0
0,-235,-6,-196,468,305,-11,-924,99,235.07658326596462,592.0008445939922,929.3535387569146,0
-1,-239,-6,-207,480,289,-9,-922,103,239.07739332693086,597.3022685374634,927.7790685287096,0
-2,-235,-5,-215,490,276,-13,-921,108,235.06169402946114,602.0805593938405,927.4017468174189,0
-3,-244,-5,-222,499,267,-1,-930,100,244.0696621868437,607.9259823366657,935.3614274706863,0
2,-239,-1,-230,508,245,6,-932,115,239.01046002215048,609.0886634965389,939.0873228832344,0
7,-241,4,-233,509,222,12,-930,120,241.13481706298657,602.2076053986698,937.7867561444873,0
12,-239,4,-235,508,203,12,-932,123,239.3344939619026,595.3973463158868,940.1579654504875,0
5,-240,-2,-238,508,188,20,-935,122,240.06040906405204,591.6519246989736,943.1378478250144,0
4,-237,0,-244,504,170,17,-934,118,237.03375287076733,585.1939849314927,941.5779309223427,0
1,-228,7,-241,498,175,-3,-877,144,228.10962276940444,580.2671798404593,888.7485583673258,0
1,-228,9,-225,505,166,5,-873,142,228.17975370308383,577.2399847550411,884.4874221830404,0
1,-224,6,-223,506,143,0,-864,143,224.08257406590099,571.1514685265197,875.7539608817079,0
0,-221,12,-231,506,127,-15,-865,157,221.32555207205516,570.5488585563904,879.2604847256586,0
-6,-222,17,-236,509,117,-16,-861,182,222.7307791931775,573.1195337798215,880.1710061118805,0
-3,-225,23,-235,520,109,-22,-866,207,226.19239598182781,580.9526658859567,890.6677270452769,0
-6,-227,27,-226,534,95,-20,-867,237,228.67881406024478,587.585738424615,899.0317013320498,0
-1,-224,35,-206,543,84,-21,-866,261,226.7200917431007,586.8057600262629,904.7198461402292,0
3,-227,36,-181,559,69,-16,-866,266,229.85647695899283,591.6105137672927,906.0728447536654,0
0,-225,40,-165,574,51,-9,-873,269,228.52789764052878,599.4180511129107,913.5485756105145,0
3,-224,41,-160,595,38,1,-875,275,227.74108105478027,617.3078648454108,917.1973615313119,0
6,-228,41,-160,612,23,13,-879,279,231.7347621743445,632.9873616431848,922.3074324757445,0
8,-230,37,-166,626,7,30,-886,277,233.09440147716975,647.6735288708347,928.7760763499456,0
9,-227,48,-173,637,-9,42,-881,299,232.1938845017241,660.1355921324042,931.3033877314094,0
11,-225,46,-172,645,-20,49,-883,290,229.9173764638071,667.8390524669848,930.6932899725881,0
17,-236,36,-180,652,-15,51,-921,265,239.3344939619026,676.5567234164479,959.7223556841843,0
16,-243,39,-198,659,-30,61,-944,281,246.62927644543743,688.7561251996239,986.8221724302713,0
14,-242,41,-206,655,-58,54,-952,273,245.84751371531092,689.0754675650556,991.8412171310487,0
11,-251,29,-205,648,-81,48,-966,245,252.909074570289,684.4632933912526,997.7399460781352,0
15,-250,28,-211,641,-92,46,-978,225,252.00992043965255,681.0770881478836,1004.6019112066232,0
13,-256,21,-225,630,-95,42,-1000,198,257.1886467167631,675.6848377757192,1020.2783933809438,0
10,-267,8,-250,609,-100,32,-1040,141,267.30693967796645,665.8686056573023,1050.0023809496815,0
-2,-273,-8,-290,562,-117,-4,-1070,92,273.1245137295442,643.1430634003603,1073.9553063326239,0
-15,-275,-24,-321,488,-123,-54,-1073,31,276.45252757028646,596.9204302082481,1074.8050986109063,0
-22,-275,-41,-365,420,-110,-96,-1084,-28,278.90858717508144,567.2080746956975,1088.6027742018666,0
-21,-282,-50,-430,371,-93,-102,-1098,-64,287.1671986839723,575.4910946313591,1104.5831793033967,0
-27,-287,-47,-510,337,-77,-106,-1120,-67,292.07362085611226,616.1152489591537,1126.9982253757103,0
-25,-296,-34,-579,324,-61,-113,-1149,-2,298.99331096196784,666.2867250666187,1154.5449319970185,0
-37,-306,-8,-601,323,-43,-136,-1176,90,308.3326126117703,683.6512268693738,1187.2539745142992,0
-37,-313,21,-559,318,-22,-160,-1190,193,315.8781410607578,643.4974747425199,1216.1204710060595,0
-52,-315,42,-467,294,5,-191,-1200,270,322.0139748520241,551.8604896167146,1244.7413385920788,0
-55,-314,55,-356,254,36,-202,-1200,328,323.4903398866804,438.80291703679455,1260.3126596206198,0
-53,-311,61,-255,200,70,-203,-1191,363,321.3269363125351,331.54939300200806,1261.5304197679895,0
-53,-306,70,-173,145,106,-201,-1175,383,318.34729463276426,249.37922928744487,1252.0842623401988,0
-52,-304,69,-106,100,144,-206,-1169,385,316.0395544864598,204.87069092478797,1247.887014116262,0
-50,-305,66,-56,67,183,-199,-1178,373,316.0395544864598,202.76587484091104,1251.56462078472,0
-45,-303,65,-18,48,229,-168,-1175,362,313.14373696435314,234.66785037580243,1240.9242523216315,0
-51,-322,49,-10,37,331,-188,-1254,297,329.6755981264006,333.2116444543918,1302.332138895451,0
-50,-337,23,-37,53,379,-184,-1335,230,341.464493029656,384.4723657169654,1367.1067990468046,0
-52,-352,11,-91,38,405,-197,-1388,141,355.990168403567,416.83330001332666,1408.9833214058995,0
-47,-370,-22,-163,-23,447,-174,-1436,43,373.62146619272295,476.3475621854278,1447.1423565081634,0
-33,-378,-44,-247,-118,501,-120,-1462,-53,381.9803659875727,570.906297040066,1467.873632163205,0
-15,-380,-61,-320,-234,563,-46,-1475,-123,385.1571108002551,688.5673532778039,1480.8342243478842,0
-2,-380,-64,-364,-329,639,12,-1475,-137,385.3569773599539,805.6413594149694,1481.3973133497982,0
11,-379,-51,-350,-384,720,53,-1466,-97,382.57417581431184,887.89413783401,1470.1612156494946,0
19,-368,-26,-282,-416,785,69,-1421,-4,369.406280401403,932.0970979463459,1422.6798656057517,0
13,-348,-5,-181,-449,832,60,-1353,100,348.2786240928375,962.5933720943647,1358.0165683819914,0
17,-320,23,-73,-483,858,57,-1243,184,321.275582638955,987.3104881444337,1257.837032369456,0
27,-296,31,8,-489,881,82,-1161,232,298.84109489827534,1007.6437862657617,1186.7893663156913,0
36,-280,32,34,-438,887,113,-1092,242,284.1126537132762,989.8328141661095,1124.1872619808498,0
37,-269,29,15,-329,855,123,-1061,242,273.07691224268666,916.2374146475355,1095.177611166335,0
39,-269,23,-36,-191,804,127,-1061,221,272.7837971727793,827.1595976593634,1091.1878848301058,0
25,-269,15,-96,-70,757,75,-1066,168,270.57531299067176,766.2669247723015,1081.760139772214,0
31,-287,-9,-127,27,692,107,-1097,96,288.809625878363,704.0752800659884,1106.3787778152653,0
4,-281,-38,-135,76,521,24,-1083,-10,283.58596580225895,543.5457662423653,1083.3120510730046,0
-4,-279,-67,-115,88,414,-15,-1070,-136,286.95992751602097,438.5943456087869,1078.7126586816344,0
7,-276,-96,-76,96,356,3,-1058,-261,292.3029250623401,376.46779410727817,1089.7219828928844,0
7,-270,-126,-43,120,305,22,-1039,-363,298.03523281652457,330.5661809683501,1100.8060682972273,0
6,-262,-137,-29,175,270,14,-1013,-422,295.7177708559295,323.0572704645416,1097.4739176855185,0
10,-254,-131,-37,251,252,12,-980,-407,285.9667812876174,357.59474269066095,1061.2224083574565,0
8,-241,-122,-57,329,251,9,-955,-386,270.23878330099103,417.7211988874876,1030.0980535851916,0
8,-239,-111,-93,401,255,24,-926,-339,263.6399059323152,484.22618681768955,986.3939375320592,0
11,-228,-102,-131,455,258,30,-885,-286,250.01799935204664,539.2123885817165,930.5487628276123,0
16,-226,-92,-165,491,261,43,-870,-244,244.532206467778,580.0232753950482,904.5910678312051,0
13,-222,-80,-191,519,260,54,-859,-206,236.3323930399724,611.0990099811977,885.00451976247,0
16,-225,-64,-211,536,262,64,-855,-163,234.47174669882938,632.8198795866009,872.7485319380377,0
19,-224,-59,-222,551,261,72,-864,-125,232.41772737895877,648.8497514833462,875.9594739484241,0
21,-237,-53,-222,557,261,60,-900,-94,243.76012799471533,653.9525976705039,906.8825723322728,0
22,-249,-40,-213,566,264,77,-954,-50,253.15015307125532,659.8643800054675,958.4075333593743,0
23,-263,-32,-192,570,260,91,-1019,-7,265.93608254616373,655.2587275267687,1023.0791758216957,0
25,-287,-23,-147,573,251,108,-1084,35,289.0034601868981,642.603299088948,1089.928896763454,0
31,-306,-19,-82,567,241,129,-1161,49,308.15255961941966,621.5255425161544,1169.1719291874913,0
42,-317,-11,-2,553,211,139,-1194,70,319.9593724209372,591.8901925188488,1204.100078897099,0
37,-316,-17,102,533,167,141,-1208,52,318.612617452605,567.7869318679323,1217.3122031755042,0
34,-313,-26,198,506,119,136,-1202,24,315.91296269700615,556.2382583030405,1209.9074344758776,0
27,-307,-35,278,481,74,108,-1181,-9,310.1660845418145,560.4649855254117,1185.962056728629,0
22,-296,-41,337,463,35,81,-1148,-37,299.6347776877711,573.7272871321356,1151.44865278483,0
10,-286,-49,378,438,-5,45,-1114,-69,290.339456498768,578.5784302927304,1117.0416285886574,0
-2,-268,-50,389,411,-40,0,-1068,-88,272.6316195895113,567.3112020751926,1071.619335398536,0
-11,-257,-55,375,398,-77,-44,-1006,-106,263.04942501362746,552.2300245368772,1012.5255552330519,0
-19,-253,-67,328,398,-115,-74,-980,-124,262.40998456613653,528.4060938331427,990.5816473163633,0
-27,-232,-48,249,402,-163,-102,-923,-89,238.447059113758,500.17396973453145,932.8740536642661,0
-38,-228,-49,169,398,-220,-151,-887,-67,236.28161164170183,485.14430842791506,902.2521820422492,0
-48,-220,-40,83,385,-273,-161,-863,-49,228.7006777427649,479.2108095608863,879.255935436321,0
-51,-221,-38,5,367,-320,-195,-854,-29,229.96956320348133,486.94352855336314,876.4599249252643,0
-57,-225,-40,-60,346,-359,-221,-868,-34,235.52919139673537,502.19219428422025,896.3375480252961,0
-56,-228,-42,-114,321,-392,-215,-881,-39,238.5036687348855,519.3274496885371,907.6932301168716,0
-56,-229,-41,-140,297,-419,-210,-888,-43,239.28643923131122,532.325088644148,913.505883943831,0
-53,-231,-46,-142,280,-438,-203,-900,-57,241.4249365744972,538.8951660573697,924.3689739492559,0
-46,-238,-51,-132,269,-458,-191,-910,-79,247.71152577141015,547.3106978673082,933.1784395280465,0
-43,-239,-55,-122,261,-473,-163,-935,-92,248.98795151573097,553.835715713604,953.5502084316274,0
-35,-242,-49,-115,250,-483,-143,-942,-86,249.37922928744487,555.8902769432111,956.6655632978539,0
-31,-245,-52,-100,233,-497,-119,-930,-76,252.3687777836236,557.9408570807483,940.6577485993511,0
-26,-242,-49,-78,209,-504,-93,-927,-67,248.276056034407,551.1633151798113,934.059419951429,0
-12,-238,-47,-55,182,-505,-61,-928,-63,242.89298054904756,539.6054113887295,932.1341105227294,0
-12,-232,-43,-38,149,-504,-42,-910,-54,236.25621684941964,526.9354799214036,912.5678056999382,0
-6,-232,-45,-17,110,-497,-22,-882,-45,236.40008460235373,509.3112996979352,883.4211905993652,0
-2,-228,-43,0,67,-489,1,-870,-41,232.0280155498469,493.56863757738904,870.96613022551,0
2,-223,-45,10,19,-482,10,-858,-43,227.50384612133485,482.47797877208865,859.1350301320509,0
2,-221,-39,9,-30,-475,21,-847,-34,224.42370641266933,476.0315115619973,847.9422150123203,0
4,-220,-38,1,-83,-464,27,-849,-37,223.29352879114074,471.3660997568663,850.2346734872673,0
5,-218,-44,-17,-134,-456,27,-849,-31,222.45224206557236,475.5849030404561,849.994705865866,0
2,-223,-41,-42,-183,-444,27,-859,-33,226.74655454934702,482.06742267031484,860.0575562135363,0
4,-223,-34,-66,-227,-432,21,-861,-19,225.61249965372042,492.4520281205064,861.4656116177824,0
-1,-227,-38,-89,-266,-419,12,-874,-9,230.1608133457996,504.2201899963943,874.12870905834,0
5,-227,-28,-109,-302,-406,6,-882,8,228.77499863402906,517.6108576913741,882.0566875207057,0
3,-232,-29,-123,-333,-391,19,-896,19,233.82472067769052,528.1088902868422,896.4028112405717,0
8,-236,-25,-135,-361,-374,32,-918,31,237.4552589436587,537.0493459636647,919.0805187795028,0
7,-241,-19,-146,-374,-367,30,-932,44,241.84912652312806,543.9494461804333,933.5202193846687,0
0,-242,-20,-157,-383,-363,10,-944,50,242.82503989498284,550.5515416380196,945.3761156280605,0
3,-249,-11,-167,-393,-345,19,-955,75,249.26090748450707,548.9653905302227,958.1289057324176,0
6,-250,-13,-165,-413,-338,26,-970,80,250.4096643502403,558.6036161716105,973.6405907725909,0
9,-252,-10,-154,-438,-335,38,-977,80,252.35887145095572,572.5251086197006,981.0061161888849,0
13,-254,-11,-143,-456,-331,49,-985,79,254.57022606738596,581.3312308830483,989.3770767508211,0
18,-255,-4,-131,-469,-326,56,-982,87,255.66579747787932,586.0017064821569,987.4355675182052,0
17,-253,-6,-117,-484,-320,73,-983,88,253.64147925763245,591.8994847100308,989.6272025363894,0
26,-251,-9,-104,-496,-312,82,-979,84,252.50346532275552,595.1268772287133,986.0126774032877,0
21,-251,-4,-97,-506,-300,81,-968,90,251.90871362459853,596.1920831409958,975.5434382947793,0
18,-246,-8,-92,-511,-286,78,-964,100,246.7873578609731,592.7739872835177,972.3065360265764,0
21,-252,0,-91,-517,-265,71,-967,108,252.87348615463821,588.0433657477993,975.599302992781,0
19,-244,2,-81,-524,-240,77,-954,126,244.74680794649805,582.011168277723,965.3605544044152,0
21,-248,4,-65,-532,-214,85,-963,127,248.9196657558418,577.1005111763461,975.0502551150889,0
26,-245,3,-60,-543,-183,93,-945,132,246.39399343328157,576.140607838052,958.6959893522034,0
24,-240,5,-55,-553,-152,97,-940,134,241.2488341940744,576.140607838052,954.444864829813,0
21,-239,1,-60,-561,-118,101,-925,143,239.9229042838553,576.4069742811931,941.4217970707923,0
29,-235,12,-79,-569,-83,105,-924,140,237.08648211148605,580.4231215242894,940.425967314812,0
20,-229,9,-98,-584,-51,104,-902,147,230.0478211155237,594.3576364445905,919.7983474653561,0
23,-232,10,-118,-604,-19,94,-890,146,233.35166594648516,615.7117832232871,906.7811202269266,0
22,-228,13,-135,-629,14,85,-890,158,229.42754847663784,643.4764952972253,907.9036292470694,0
17,-228,15,-148,-656,47,74,-884,170,229.12442034842118,674.1283260626274,903.2341889011952,0
17,-229,17,-155,-686,82,61,-884,177,230.25855032984117,708.0572010791219,903.6072155533067,0
12,-232,20,-157,-714,119,42,-902,193,233.16946626863475,740.6794178320334,923.3726225094613,0
3,-235,22,-153,-743,149,21,-919,208,236.04660556762937,773.084083395849,942.4786469729698,0
-3,-242,26,-137,-769,180,-1,-939,227,243.41117476401942,801.5796903614762,966.0491705912283,0
-4,-251,39,-113,-794,205,-24,-964,254,254.043303395307,827.786204282241,997.1900520963895,0
-16,-253,43,-76,-820,218,-54,-966,283,257.12642804659345,851.8802732778827,1008.0481139310762,0
-20,-254,45,-32,-855,249,-86,-981,312,258.72958856690514,891.0948322148434,1033.0058083089368,0
-23,-260,57,19,-887,282,-97,-996,327,267.1666146808018,930.9425331351017,1052.7839284487582,0
-29,-259,57,68,-915,304,-103,-1003,345,266.77893470062435,966.5738461183398,1065.6655197574894,0
-32,-259,60,117,-936,311,-120,-1006,360,267.7778930382417,993.2300841194854,1075.1911457968765,0
-31,-256,63,164,-943,320,-117,-1002,364,265.4543275217038,1009.2299044320873,1072.4686475603844,0
-16,-258,45,205,-937,334,-70,-1017,299,262.3833073958784,1015.6524996277024,1062.3511660463314,0
-9,-259,26,222,-903,334,-38,-1015,215,260.4572901648176,988.0531362229463,1038.2167403774608,0
13,-261,2,215,-838,324,36,-1015,136,261.3312074743466,923.8208700825069,1024.7033717130046,0
30,-258,-15,174,-761,288,109,-1001,59,260.17109754928583,832.0703095291888,1008.6441394267852,0
47,-259,-32,104,-680,228,167,-1016,11,265.1678713569953,724.7068372797376,1029.6921870151293,0
54,-250,-30,21,-602,133,209,-986,9,257.5189313429209,616.874379432312,1007.9474192635249,0
66,-255,-31,-58,-540,91,248,-997,20,265.2206628451109,550.6768562414803,1027.5762745412137,0
76,-259,-17,-114,-474,46,284,-1020,49,270.45517188621113,489.681529159514,1059.9325450235028,0
81,-259,-4,-141,-415,0,299,-1019,88,271.4000736919576,438.2989847124905,1065.6012387380188,0
93,-262,6,-147,-364,-39,334,-1020,136,278.08092347372553,394.4946133979525,1081.8742995376126,0
111,-266,20,-140,-310,-80,386,-1018,184,288.9238654040195,349.428104193123,1104.1630314405568,0
113,-263,32,-128,-248,-122,429,-1023,226,288.0312483047629,304.5849635159293,1132.098052290525,0
121,-269,47,-112,-184,-164,451,-1027,275,298.6821052557384,270.73234014428346,1154.8831109683786,0
123,-271,58,-83,-127,-215,462,-1055,313,303.2062004643045,263.14064680318774,1193.498219521085,0
119,-271,61,-46,-80,-290,479,-1040,363,302.19695564316993,304.3287695897317,1201.17026270217,0
110,-277,63,-4,-64,-330,440,-1064,361,304.6276415560479,336.17257472911143,1206.655294605713,0
105,-294,58,31,-63,-356,411,-1137,330,317.52952618614853,362.8580989863668,1253.2318221302874,0
95,-308,42,48,-60,-415,382,-1194,271,325.04307406865325,422.05331416777193,1282.5759236785946,0
87,-317,21,45,-58,-483,331,-1241,210,329.3918638946627,488.54682477731853,1301.4384349634063,0
75,-338,2,36,-35,-524,273,-1309,126,346.2268042771963,526.4000379939196,1343.0882323957724,0
59,-351,-16,12,30,-559,207,-1370,60,356.2835949072031,559.933031710043,1386.8485858232686,0
44,-362,-28,-28,132,-602,148,-1408,17,365.7376108633073,616.9375981410113,1415.859103159633,0
31,-362,-36,-76,239,-659,118,-1428,-16,365.10409474559447,705.1085022888321,1432.9563845421117,0
30,-364,-41,-128,319,-728,103,-1419,-41,367.52823020823854,805.0645936817741,1423.323926588744,0
31,-360,-49,-181,366,-796,110,-1406,-71,364.63954804710914,894.6133242915623,1412.0825046717348,0
43,-354,-56,-235,392,-849,151,-1378,-106,360.9722981061012,964.2043351904201,1390.2952923749688,0
50,-348,-55,-281,425,-903,182,-1353,-123,355.8496873681358,1036.8196564494715,1370.715871360655,0
55,-339,-52,-317,477,-958,203,-1322,-97,347.34708865916815,1116.1460477912378,1341.0078299547695,0
48,-328,-39,-331,537,-999,200,-1287,-25,333.77986757741996,1181.4952390932433,1302.6872226286707,0
47,-331,-14,-311,586,-1028,178,-1269,49,334.6132095420024,1223.4790558076586,1282.359543965732,0
32,-315,7,-272,600,-1080,136,-1214,133,316.6985948816319,1265.0628442887728,1228.812841729773,0
21,-311,19,-225,543,-1072,100,-1193,187,312.2867272235565,1222.562063864244,1211.7004580340804,0
8,-304,19,-174,452,-1048,43,-1171,196,304.6982113501817,1154.5059549434989,1188.0681798617452,0
-2,-294,14,-127,336,-997,27,-1148,175,294.33993952571234,1059.732985237319,1161.5756540148386,0
-1,-293,-11,-81,195,-933,21,-1139,91,293.2081172136952,956.5955258101513,1142.8223833999753,0
0,-289,-49,-42,57,-880,12,-1111,-45,293.1245469079654,882.8437007760773,1111.9757191593708,0
0,-275,-87,-22,-58,-833,7,-1074,-200,288.4337012209218,835.306530562284,1092.4856978468872,0
-8,-259,-121,-9,-143,-786,-18,-1008,-352,285.9825169481519,798.9530649543814,1067.8445579764875,0
-13,-249,-144,-11,-203,-728,-43,-958,-457,287.9340202199108,755.8531603426687,1062.2909206050854,0
-17,-232,-155,-33,-264,-679,-66,-911,-492,279.5317513271077,729.264012549639,1037.468553740305,0
-22,-224,-147,-71,-346,-644,-79,-872,-488,268.8289418942834,734.5018720193979,1002.3816638386797,0
-26,-217,-140,-118,-453,-617,-94,-839,-451,259.5476834803193,774.4817622126424,957.1614283912614,0
-33,-208,-127,-156,-559,-591,-117,-814,-411,245.93088459971838,828.3103283190425,919.3508579427116,0
-40,-210,-115,-176,-651,-563,-150,-801,-363,242.7447218787671,878.4907512319069,892.1154633790404,0
-47,-213,-105,-185,-725,-527,-172,-814,-307,242.0805651017859,915.1934221791588,886.8083220177853,0
-51,-222,-95,-185,-786,-491,-190,-844,-256,246.79951377585814,945.0407398625733,902.2039680693052,0
-55,-240,-79,-184,-831,-459,-207,-915,-213,258.58460897740997,967.004653556538,961.9994802493399,0
-61,-257,-72,-191,-869,-431,-231,-987,-178,273.7772817455824,988.6369404387032,1029.1812279671642,0
-66,-282,-67,-197,-904,-399,-255,-1084,-145,297.2692382336255,1007.584239654432,1122.9897595258828,0
-69,-311,-53,-198,-938,-361,-260,-1178,-113,322.941171113254,1024.3871338512604,1211.6323699868703,0
-71,-338,-45,-177,-965,-314,-253,-1275,-70,348.2958512529255,1030.121352074599,1301.7426781050085,0
-57,-354,-41,-114,-974,-262,-242,-1353,-36,360.8961069338377,1015.044826596343,1374.9432715570485,0
-52,-363,-33,9,-955,-208,-204,-1386,-22,368.1874522576781,977.4303044207295,1401.1052779859192,0
-38,-367,-30,183,-904,-155,-165,-1383,1,370.17968609852164,935.2700144877948,1392.8083141624336,0
-26,-358,-33,400,-830,-102,-114,-1356,-8,360.45665481441733,926.9865155437807,1360.8071134440765,0
-11,-341,-44,615,-748,-51,-64,-1303,-48,344.00290696446154,969.7061410551137,1305.4535610277371,0
4,-323,-51,798,-664,-6,4,-1232,-84,327.02599285072125,1038.140645577467,1234.8667944357398,0
25,-298,-58,920,-583,31,88,-1141,-109,304.61943470501024,1089.6100219803413,1149.567744850211,0
44,-270,-68,979,-519,65,167,-1060,-153,281.8865019826242,1109.967116630038,1083.9271193212207,0
61,-252,-81,958,-477,99,245,-990,-193,271.63578556589334,1074.752994878358,1037.9662807625305,0
82,-234,-88,857,-460,139,321,-923,-219,263.10454196003536,982.5324422124696,1001.4644277257181,0
105,-223,-86,690,-464,186,383,-886,-229,261.05554964413227,852.051641627431,992.0312495077965,0
112,-217,-85,479,-478,226,433,-864,-224,258.5691396899483,713.4430600965994,992.0488899242819,0
114,-208,-79,262,-494,266,445,-833,-192,250.00199999200007,619.2220926291309,963.7312903501681,0
116,-208,-65,77,-501,309,447,-824,-143,246.8704113497606,593.6421480993411,948.2794946638886,0
114,-214,-52,-42,-502,362,437,-836,-98,247.98387044322055,620.332169083629,948.4033951858249,0
115,-225,-47,-107,-494,422,438,-871,-73,257.01945451657934,658.4595659567867,977.6574042066065,0
115,-239,-50,-135,-476,466,420,-912,-71,269.8999814746196,679.6741866512219,1006.5709115606312,0
105,-239,-51,-145,-453,497,392,-927,-80,265.9830821687725,687.9265949212895,1009.6499393354114,0
93,-250,-49,-136,-416,516,355,-940,-83,271.20103244641234,676.6151047678436,1008.2231895765937,0
80,-247,-56,-116,-366,530,312,-944,-79,265.60308733145405,654.455498869098,997.35700729478,0
